Scene Number,Instruction Type,Instruction
536.0,d,Wait for the lights to turn green and then take a right turn
536.0,s,turn right at the intersection
536.0,s,"when the signal turns green, turn right on the intersection"
536.0,,turn right
536.0,d,Make a right turn when the light turns green
537.0,d,Move to the curb to allow the gray car to pass and then continue going straight
537.0,d,merge into the bike lane to let the car behind pass
537.0,d,let the car behind you pass in front of you by pulling over to the side and then continuing back on to the road
537.0,d,"Briefly turn to the right into the bike lane to let the car behind pass, and then merge back into the lane"
537.0,ds,"enter the bike lane, let teh black car pass, then re-enter the road"
537.0,d,"Briefly go on the right side of the road to let the car behind you pass, then go back into the lane."
538.0,s,Make a right turn at the intersection
538.0,s,"At the intersection, make a right turn and go straight"
538.0,s,Take a right turn at the intersection
538.0,s,turn right at the intersection
538.0,s,turn right at the intersection
538.0,,turn right
539.0,d,Wait for the pedestrians to cross and then continue going straight until the stop lights
539.0,ds,Slow down to allow the pedestrians to cross the road
539.0,,Go straight
539.0,d,slow down and stop for pedestrians
539.0,d,Slow down and stop to let the pedestrians cross. Proceed when they are no longer in the lane
539.0,d,"let the pedestrians cross, then move ahead"
541.0,d,stop at the intersection to avoid hitting the pedestrians
541.0,d,Stop at the stop lights and wait for the pedestrians to cross
542.0,d,Wait at the intersection and proceed right or left when it's safe to turn
542.0,d,Wait at the intersection if there are cars crossing the intersection from the left and right side of the road
542.0,s,slowly approach the intersection
544.0,d,slow down and stop for pedestrians 
544.0,d,Stop at the intersection and allow the pedestrian to pass
544.0,d,slow down for the pedestrians
544.0,d,Slow down and stop to let the pedestrian and dog cross
546.0,d,Make a right turn when the stoplight is green
546.0,d,Wait for the light to turn green and then go
546.0,,turn right here
546.0,s,move ahead slowly when the signal turns green
546.0,d,Make a right turn when the light turns green.
546.0,d,Allow for the pedestrians to cross before continuing
552.0,s,Take a left after all the cars pass
552.0,sd,turn left here wait until there are no approaching vehicles from either side of the road
552.0,s,"stop at the intersection, then turn left"
552.0,ds,Make a left turn when there's no oncoming vehicles and go around the parked vehicle
552.0,s,Go around the stopped vehicle in front of you
552.0,s,"turn left, go around the road obstruction"
552.0,d,Make a left turn when the vehicles from the left side have passed
555.0,d,Slow Down and let the gray car overtake you
555.0,d,Continue straight when the light turns green
555.0,,Go straight when the stoplight turns green
555.0,s,go straight and avoid hitting the construction cones or the barricades
556.0,d,turn left and then stop behind the car when it stops
556.0,,Make a left turn at the intersection
556.0,sd,Take a left turn and stop behind the white car
556.0,,turn left
556.0,d,Make a left turn after the white car turns. Stop behind the white car that's stopped and unloading pedestrians
556.0,,turn left here
557.0,s,slide into the rightmost lane and then come to a stop at the intersection
557.0,s,Go into the rightmost lane when it appears and stop at the red stoplight
557.0,s,merge into the right lane
557.0,s,Change one lane to the right to turn right at the intersection
557.0,s,Shift to the right and lane and then stop at the stoplight
558.0,d,Make a right turn when there are no cars coming from the left
558.0,d,Make a right turn when there are no vehicles on-coming
558.0,,turn right here
558.0,d,turn right at the intersection and then stop behind the bus
558.0,d,Take a right turn after the cars pass and then stop behind the bus
558.0,,turn right
560.0,s,stop at the intersection
561.0,,turn left
561.0,d,Make a left turn when the light turns green
561.0,s,"when the signal turns green, turn left at the intersection"
561.0,,turn left here
561.0,d,Turn left when the stoplight turns green
562.0,s,Continue straight and slow down when approaching the stopped vehicle ahead
562.0,s,Slow down before approaching the white vehicle ahead
562.0,d,stop behind the stopped truck
563.0,sd,merge one lane to the right when there are no approaching vehicles 
563.0,,switch lanes to the right
563.0,d,swtich to the right lane when the truck is out of the way
563.0,d,Change one lane to the right
563.0,s,Switch to the right lane on the solid white line to avoid being in the turn lane.
564.0,,turn right
564.0,ds,Make a right turn turn following the truck directly ahead
564.0,ds,move when the truck starts moving and then turn right at the intersection
564.0,d,follow the truck ahead and turn right
565.0,d,turn right and then stop behind the truck
565.0,d,Follow the truck ahead. Stop at a safe distance behind the truck
565.0,d,Follow the yellow truck ahead of you
566.0,,Make a right turn at the intersection and go straight
566.0,s,Make a right turn and proceed straight
566.0,,trn right and go straight
566.0,,turn right
570.0,s,Make a right turn at the stop sign
570.0,,turn right
570.0,s,Make a full stop at the intersection then make a right.
570.0,s,turn right at the stop sign
574.0,s,turn left at the end of the road 
574.0,s,"turn left, then stop at the stop sign and then turn right."
574.0,,"turn left, turn right"
574.0,s,"Following the road, turn left and continue until the stop sign. At the stop sign turn right"
574.0,,Make a right turn
574.0,s,Stop at the stopsign and make a right turn
574.0,,Make a left turn and go srtaight
575.0,,turn right here and continue
575.0,,turn right
576.0,,turn right at the intersection
576.0,s,turn right at the intersection
576.0,s,Make a right turn at the light
576.0,,turn right
576.0,,Make a right turn at the intersection and go straight
577.0,,turn right at the intersection
577.0,,Make a right turn and go straight
577.0,s,Making a right turn. Continue straight 
577.0,,turn right here
578.0,d,Go straight when the stoplight turns green
578.0,d,Continue straight when the stop light turns green
578.0,,go straight
580.0,,turn left
580.0,s,turn left at the intersection
580.0,,Make a left turn
580.0,s,Make a left turn and continue straight
580.0,,turn left
582.0,,turn right
582.0,s,turn right at the intersection
582.0,s,turn right at the intersection
582.0,s,Make a right turn when you come about to the intersection and go straight
582.0,s,Make a right turn at the light
583.0,s,stop at the intersection then move ahead
584.0,d,turn right and then let the black car turn then continue
584.0,s,turn right at the stop sign
584.0,d,Slow down to allow the merging vehicle to get into the lane.
584.0,ds,Make a right turn. Slow down to allow the incoming vehicle to merge into the lane.
584.0,,turn right
586.0,,Go into the right lane to make a right turn
586.0,s,merge into the right turn only lane
586.0,,switch lanes to the right
586.0,s,enter the turning lane on the right
586.0,s,Change one lane to the right to be in the right turn lane
588.0,sd,turn right where there i are no approaching cars
588.0,,turn right at the intersection
588.0,,Make a right turn into the rightmost lane
588.0,,turn right
588.0,d,"When there are no incoming vehicles into turning lane, turn right and stay in the right most lane"
589.0,s,Make a right turn and continue straight
589.0,,turn right 
589.0,,Switch into the middle lane
589.0,,turn right
589.0,,turn right at the intersection
590.0,ds,Change lanes one to left to be in the middle lane. Continue straight when the light turns green and the bus passes the intersection
590.0,s,"slide into the left lane and stop at the intersection, move forward when the light turns green"
590.0,s,merge over one lane to the left
590.0,,switch to left lane
591.0,s,stop at the intersection
592.0,,Make a left turn
592.0,,turn left
592.0,,Make a left turn
592.0,,turn left at the intersection
592.0,,turn left here
593.0,,Make a right turn
593.0,,turn right
593.0,d,Make a right turn when all incoming vehicles have passed and all pedestrians have crossed the street
594.0,s,turn right at the intersection and then stop at the intersection behind the car
594.0,,turn right here
594.0,,turn right
596.0,ds,start moving when the car in front starts moving and then turn right at the intersection
596.0,ds,Turn left at the stop light when the light is a green arrow
596.0,,Make a left turn at the intersection
596.0,s,turn left at the intersection
596.0,,turn left
598.0,,turn right at the intersection
598.0,s,Make a right turn
598.0,,Make a right turn and go straight
598.0,,turn right here
599.0,,turn right
599.0,s,exit the roundabout on the first right
599.0,,turn right at the intersection
599.0,s,In the roundabout take the first exit
599.0,,Take a right at the roundabout
625.0,d,Follow the vehicle directly ahead
626.0,s,stop at the intersection
626.0,ds,Follow the vehicle directly ahead and enter the roundabout
629.0,,Continue straight
629.0,s,stop at the stopsign
629.0,,go on the right road and go straight
629.0,s,take a slight right and continue on the road
629.0,s,stop at   the intersection then go straight
630.0,s,Continue straight once at the stop sign
630.0,s,stop at the stopsign
630.0,s,stop at   the intersection then go straight
632.0,,"turn right, turn right"
632.0,s,"Following the road, turn right at the corner. Shortly after turning the corner, turn right"
632.0,,Make a right turn
632.0,,Make another right turn
632.0,s,take a right the end of the road and another right at the intersection
632.0,s,turn right and then turn right again at the next intersection
634.0,,Make a left turn
634.0,,turn left
634.0,,turn left here
634.0,s,Make a left turn
634.0,s,turn left at the intersection
634.0,s,Stop at the stopsign
634.0,d,Slow down before approaching the vehicle ahead of you
635.0,d,Stop and wait for the semi-truck to park
635.0,d,Wait until the vehicle in front of you is not blocking the lane to proceed forward.
636.0,,Make a right turn
636.0,,Stop at the stopsign.
636.0,s,take a right at the stop sign
636.0,s,turn right at the intersection
636.0,s,Make a right at the stop sign
636.0,,turn right
638.0,,Make a left turn at the itnersection
638.0,,turn left
638.0,sd,turn left at the intersection when there are no incoming vehicles
638.0,d,Wait until oncoming traffic passes and make a left turn
638.0,,turn left
639.0,s,stop at the intersection
640.0,s,Continue straight and stay in the middle lane
640.0,,Go straight when the stoplight turns green
641.0,s,slide into the right lane and stop at the intersection
641.0,,"After crossing the intersection, switch into the right lane."
641.0,s,"Passing the light, change one lane to the right"
641.0,s,merge one lane over to the right after the intersection 
642.0,,Go straight when the stoplight turns green
642.0,d,Continue straight when the light turns green
642.0,s,start moving when light turns green
645.0,s,merge over one lane to the right and turn right at the intersection
645.0,s,"slide into the right lane, stop at the intersection then turn right"
645.0,,turn right
645.0,d,Make a full stop at the blinking light. Turn right when the pedestrian isn't an obstacle in the turning lane
645.0,,Make a right turn
645.0,d,Switch to the right lane and come to a full stop at the flashing stoplights
646.0,,turn right here
648.0,,slide into the right lane
648.0,s,Switch into the right lane after passing by the white large vehicle thats on the right side of the road
648.0,s,Continue straight and change to the right most lane
649.0,s,merge one lane over to the right and turn turn right at the intersection
649.0,,turn right
649.0,s,stop at the intersection
650.0,s,stop at the red light
651.0,d,Make a left turn at the intersection once all cars from the left side of the road have cleared
651.0,d,Go straight on the greenlight
651.0,d,"let the oncoming traffic pass, then turn right"
651.0,d,turn left here when there are no approaching vehicles 
651.0,d,Turn left when the oncoming traffic has passed
653.0,ds,Allow the pedestrians to cross the road and continue straight when the pedestrian aren't an obstacle on current lane
653.0,d,stop for the pedestrians
653.0,d,Come to a stop before approaching the pedestrians to allow them to cross the road.
653.0,d,"stop and let the pedestrians cross, then continue"
654.0,s,Stop at the stopsign
654.0,s,turn right and stop at the stop sign then continue
657.0,sd,turn left at the intersection when there are no approaching vehicles from the other side of the road
657.0,ds,Make a left turn when there's no oncoming traffic
657.0,,turn left
657.0,s,Make a left turn at the intersection
657.0,s,stop at the intersection then turn left
658.0,,turn left
658.0,d,Make a left turn when it is safe to do so
658.0,s,stop at the intersection then turn left
658.0,sd,turn left at the intersection when there are no approaching vehicles from the other side of the road
658.0,s,Make a left turn 
660.0,s,"continue striaght ahead, avoid hitting the parked vehicles"
660.0,s,Continue straight taking a slight left around the parked semi-truck
660.0,,go left
660.0,,follow the road to the left and continue straight
661.0,s,turn left at the end of the road
661.0,s,Make a left turn at the end of the road
661.0,s,Make a left turn at the end of the road
661.0,s,turn left at the barricades
661.0,,turn left
662.0,s,stop at the stop sign
662.0,,Stop at the stopsign
663.0,s,turn left at the intersection
663.0,,Make a left turn and countinue straight
663.0,s,Make a left turn at the stop sign
663.0,,turn left
663.0,,turn left here
664.0,,follow the road
665.0,d,Make another left turn when the vehicle from the left side crosses the intersection
665.0,,turn left to exit the parking lot and take a left onto the main road
665.0,,turn left
665.0,,Make a left turn
665.0,d,turn left stop at the intersection and move forward only when all cars have passed
665.0,ds,Make a left turn and then take another left onto the main street if there's no oncoming traffic
666.0,d,"Slow down to let the pedestrian cross. When the pedestrian isn't an obstacle on the road, continue straight"
666.0,d,Slow down to allow the pedestrian in front of to complete walking across the road.
667.0,d,drive around the parked truck and continue straight 
667.0,s,Briefly go onto the left side of the road to avoid the parked vehicle in your lane
667.0,ds,"Continuing straight, go around the unloading truck in the street briefly going in the opposite lane"
667.0,s,swerve around the parked truck
667.0,s,go around the vehicle
669.0,,turn right here
669.0,,Turn right at the light
669.0,,Make a right turn into the middle lane
669.0,,turn right
669.0,s,turn right then go straight
671.0,,stop at the intersection
673.0,s,stop at the red light
674.0,d,slow down for the pedestrian
675.0,d,Slow down for the pedestrian in front of you
675.0,d,proceed slowly to avoid hitting the wheelchair
675.0,d,Slowly proceed with caution maintaining a safe distance between the moving pedestrian
676.0,d,"Continue proceeding with caution, come to a stop before the flashing pedestrian sign and proceed when safe to do so"
676.0,d,poceed slowly to avoid the wheelchair
677.0,d,proceed slowly to avoid hitting the wheelchair
678.0,d,poceed slowly to avoid the wheelchair
679.0,d,"When the pedestrian in the wheel chair goes out to the side, cautiously go around him and continue straight"
679.0,d,"Once it is safe to do so, pass the pedestrian on the wheelchair"
680.0,,turn left here and drive around the parked trucks 
683.0,d,Follow the vehicle directly ahead
683.0,,Merge into the right lane when it opens
685.0,,turn right at the intersection
685.0,ds,Make a right turn when the pedestrian isn't an obstacle in the lane you're turning into
685.0,,turn right
685.0,,Make a right turn at the intersection
687.0,d,turn right when there are no pedestrians 
689.0,d,"When the light turns green, continue straight and follow the vehicle ahead"
689.0,d,Coninue straight wehen the stoplight turns green
695.0,d,"Continue straight, slow down to let the car turn to avoid an accident"
696.0,d,Slow and come to a stop if needed to allow the pedestrian to cross
696.0,d,stop and wait for the pedestrians
696.0,d,Stop before the stopwalk to allow the pedestrian to cross the road
697.0,d,"After the pedestrian crosses the road, continue straight"
697.0,d,"Once pedestrian crosses and isn't an obstacle in the path, continue straight"
700.0,s,Make a right turn at the intersection into the middle lane
700.0,,turn right
700.0,s,Make a right turn at the light
700.0,,turn right here
703.0,d,Continue straight when the stoplight turns green
709.0,d,Go on the left side of your lane before appraoching the construction that is on the right side of your lane
710.0,d,Come to a stop for the pedestrians acrossing the street ahead of you
710.0,d,stop for the pedestrians
711.0,,merge onto the left lane
711.0,,switch lanes to the right
711.0,,Switch to the right lane
711.0,s,Change one lane to the right
711.0,d,Switch back to the lane lane to avoid the construction ahead of you when no cars are coming from behind
712.0,,"After crossing the intersection, switch to the rightmost lane"
712.0,s,"When on the bridge, change one lane to the right"
716.0,ds,Make a right turn at the light
716.0,,turn right
716.0,,turn right at the signal
716.0,d,Make a right turn at the intersectin when the light turns green and there are no pedestrians on the road
719.0,,turn right
719.0,s,Make a right turn at the light
719.0,ds,Make a right turn at the intersection when the stpolight turns green
728.0,d,Continue straight when the stoplight turns green
734.0,d,Proceed straight when the stoplight turns green
736.0,s,Stop at the stopsign and then make a left turn
736.0,s,Make a left turn at the stop sign
736.0,,turn left
737.0,,turn right
737.0,s,Make a right turn 
738.0,s,Take the second exit in the roundabout
739.0,s,Stop at the stopsign
740.0,,turn right
740.0,s,Make a right turn at the intersection
740.0,,Make a right turn
744.0,s,Stop at the stopsign
746.0,,go all the way to the left lane
746.0,s,Shift to the lane on the left
746.0,,Switch into the leftmost lane
750.0,d,Move the car to the right to allow the oncoming vehicle to pass
750.0,d,Proceed straight when the stpolight turns green
750.0,d,Move the vehicle to the right to allow the truck to properly turn
752.0,s,Go around the vehicle stopped in the road briefly going in the opposite lane
752.0,s,go around the road obstruction
752.0,s,Avoid the parked vehicle ahead of you by going around it on the left side and then proceed back into the same lane
760.0,,turn right
760.0,,Make a right tturn at the greenlight and when it is safe to do so.
760.0,d,Make a right turn at the light when it turns green. Slow down for a small amount of time to allow the oncoming vehicle to turn into the road first
760.0,s,"Go onto the left side of the road, if it is clear, to avoid the parked vehicle in front. Then go back onto the right side of the road."
762.0,s,Make a right turn at the first set of lights
762.0,s,Make a right turn at the intersection
762.0,,turn right
764.0,d,Keep a safe distance between the individual on the bicycle in front of you
768.0,s,"Slightly go onto the left lane, if it is safe, to avoid the parked vehicle on the right side of your lane."
768.0,ds,Go around the stopped vehicle on the road by going in the left lane only if it's safe to do so
769.0,,Make a right turn at the intersection
769.0,ds,Make a right turn at the light. Go around the stopped vehicle by going in the opposite lane only if it's safe to do so
769.0,s,"turn right, go around the vehicle"
770.0,,stop at the curb
778.0,s,Make a U turn
778.0,,Make a u-turn
778.0,,take a u-turn
783.0,s,Past the second set of lights change one lane to the right
783.0,s,"Before coming to a stop at the intersection, turn to the lane with the forward marking"
783.0,,switch to the right lane
790.0,d,Continue straight whent the stoplight turns green
798.0,d,Follow the grey vehicle in front of you
799.0,d,Keep following the grey vehicle in front of you
800.0,d,Keep following the grey vehicle in front of you
802.0,d,Keep following the grey vehicle in front of you
803.0,,"When it is clear to do so, merge onto the road from the parking space."
803.0,,merge onto the road when there are no oncoming cars
808.0,d,Continue straight when the stoplight turns green
812.0,,switch lanes to the right
812.0,,merge into right rurn only lane
812.0,d,Continue straight when the stoplight turns green
815.0,s,turn right at the signal and merge into the left most lane
815.0,,"turn right, switch lanes to the right"
815.0,,Make a right turn
816.0,,take the third roundabout exit
816.0,s,Go around the round about and make the left turn
816.0,,turn left at the roundabout
817.0,s,Stop at the stopsign
819.0,,turn right
819.0,s,Make a right turn at the intersection
819.0,s,as the stop sign turn right
821.0,,After crossing the first intersection stay on the left side of the road
821.0,,follow the road
848.0,s,Switch to the right lane to avoid the parked cars on your lane
848.0,d,Slow down to allow the pedestrian to cross the road
848.0,,switch to the right lane
849.0,,switch to the left lane
850.0,,continue going along the road
852.0,,merge into the far left lane
852.0,s,"switch to the right lane in order to avoid hitting the parked cars, then near the turning lanes switch back to the left lane"
852.0,s,Change to the right lane and go back to the left lane when there are no obstructing cars
852.0,s,Go into the left turn lane
852.0,,switch to the right lane
853.0,s,Go into the middle lane
853.0,d,"slow down to avoid hitting the car(white SUV), then carefully follow that car and stop behind it."
853.0,,turn left
853.0,,take a right into the connecting road
853.0,,turn left here
854.0,d,follow the white SUV in front while maintaining a safe distance
855.0,,turn right
855.0,d,turn right and proceed slowly in order to avoid hitting the turning cars
855.0,d,Allow the vehicle with the left lane blinker to merge into your lane
855.0,,Make a right turn
856.0,,continue on this road
861.0,d,Make a right turn when there are no cars coming from the left side
861.0,d,"wait for all the vehicles to pass, then carefully turn right "
861.0,,turn right
861.0,,turn right at the intersection
862.0,ds,Stop before the crosswalk to allow the pedestrian to walk accross the road. Then continue once it is clear
862.0,,stay on the far left lane and keep keft at the fork
862.0,d,"stop at the crosswalk, let the pedestrians cross, then continue moving ahead"
863.0,,Make a right turn
863.0,,turn right
863.0,s,turn right at the intersection and stay in the left lane
865.0,,Make a right turn
865.0,,turn right into the connecting road
865.0,s,"Go slightly on the right side of the road to avoid the parked vehicle in front, then go back onto the lane."
865.0,s,"turn right, go around road obstruction"
865.0,s,"turn right at the intersection, then swerve around the parked tempo"
866.0,,turn right 
866.0,,keep right
866.0,s,turn right at the fork
868.0,,Make a right turn
868.0,,complete the right turn
868.0,,turn right and continue
872.0,d,When the light turns green continue straight
872.0,s,move ahead when the signal turns green
876.0,d,When the light turns green continue straight
876.0,s,when the signal turns green go straight
878.0,s,stop at the signal
880.0,s,turn left at the traffic signa
880.0,ds,"Continue straight when the stoplight turns green, and after passing it, make a left turn"
880.0,s,"when the signal turns green, turn right at the intersection"
882.0,,turn left
882.0,s,"turn right, when the signal turns green"
882.0,ds,When the stoplight turns green make a left turn
882.0,s,turn left at the signal
883.0,s,stop at the signal
885.0,s,go stright when the signal turns green
885.0,d,Continue straight when the stpolight turns green
886.0,s,stop before the crosswalk when the signal turns red
888.0,,Make a right turn
888.0,s,"when the signal turns green, turn right"
888.0,,turn right
889.0,s,stop at the signal
890.0,d,wait for the oncoming traffic to pass ten turn left
890.0,ds,"When the stoplight turns green, make a left turn at the intersection once all cars have passed by"
891.0,,turn left here
891.0,s,complete the left turn and go stright
891.0,,turn left
894.0,ds,Make a left turn once all of the pedestrians have crossed the crosswalk
894.0,s,turn left at the intersection
894.0,,turn left into the intersection
894.0,,turn left
896.0,s,"swerve around the parked trailer, then re-join the right lane"
896.0,s,go around the vehicle obstructing the road
897.0,ds,"stop at the stop sign, behind the jeep, wait for the pedestrian to cross, then go straight"
898.0,s,stop at the signal
899.0,s,go straight when the signal turns green
899.0,d,When the stoplight turns green go straight
900.0,,turn left at the interesction
900.0,d,"When the stoplight turns greeen, make a left turn if there are no oncoming cars"
900.0,d,"turn right at the intersection, avoid hitting the oncoming traffic"
902.0,s,stop behind the bus at the intersection
905.0,s,slide into the right lane
906.0,s,Make a right turn at the intersection
906.0,s,turn right at the intersection
906.0,,turn right
907.0,s,at the signal turn right
907.0,s,complete the right turn and then stop behind the stopped vehicle
908.0,d,"when the vehicle in front starts moving, drivbe forward"
914.0,s,slide into the right turning lane near the intersection
914.0,s,"Before stopping at the intersection, switch to the right lane"
914.0,,switch lanes to the right
915.0,,turn left here and continue 
915.0,,turn right lef at the intersection
915.0,,Make a left turn
915.0,,turn left
916.0,,"turn right, turn right"
916.0,s,Follow the road through the parking lot
916.0,s,"complete the right turn, then follow the road to exit the parkig lot"
917.0,,Make a left turn at the intersection
917.0,ds,"slow down for the pedestrians, breifly stop at the intersection, then turn right"
917.0,,turn left
917.0,,at the intersection turn left
917.0,ds,Slow down to allow the pedestrians to cross the road
920.0,,turn right
920.0,,turn right
920.0,,Make a right turn
921.0,s,stop at the intersection then turn left
921.0,ds,Stop at the stopsign and make a left turn once all cars from the right side have passed
921.0,s,at the stop sign turn left
921.0,,turn left
922.0,s,"Briefly go on the right side of the road to avoid the parked vehicle in front, then go back to the original lane"
922.0,s,go around the bus
922.0,s,swerve around the parked vehicle
925.0,d,"stop at the crosswalk and let the pedestrians cross, then move ahead"
925.0,ds,Stop before the crosswalk to allow pedestrians to cross the road and proceed after they have crossed
926.0,,turn right at the intersection
926.0,s,Make a right turn and go down the road
926.0,,turn right
928.0,,turn right
928.0,,Make a right turn at the intersection
928.0,s,turn right at the intersection
929.0,d,Stop before the toll gate and proceed when the toll gate opens
929.0,s,"stop at the gate, once the arm is lifted proceed"
930.0,s,turn right at the fork
930.0,,turn right
931.0,s,enter the horseshoe and stop at the gate
931.0,s,Take a left and stop at the front of the entrance
931.0,,go to the left and stop in front of the building
945.0,,"turn left, turn left"
945.0,,Make the first left turn possible
945.0,s,Make a left turn while avoiding the construction.
945.0,s,"turn right at the intersection avoid hitting the traffic cones, reverse back slighly and merge into the left lane"
947.0,,turn left at the intersection
947.0,,turn left
949.0,s,stop at the intersection
952.0,s,"stop at the intersection, then proceed"
952.0,s,Merge to the left lane and stop before entering the main road.
952.0,,Slowly enter the main road after the foll stop
953.0,,Switch to the left lane
955.0,s,Switch to the right lane briefly to pass the parked vehicle ahead and go back to the left lane immediately after
958.0,s,Come to a stop when you appraoch the parked vehicle in front
958.0,d,"When the light turns green, proceed straight"
959.0,d,"Switch to the right lane when there are no cars coming from behind, then switch back to the left lane once you have passed all obstructions"
959.0,,go around the vehicle obstructing the road
960.0,,turn left
960.0,d,Make a left turn if there are no cars coming from the right side
961.0,s,Switch to the right lane when you see the parked vehicle ahead.
962.0,,"At the intersection, make a left turn onto the leftmost lane"
962.0,,turn left
963.0,,Switch to the rightmost lane
966.0,,go around the vehicle obstructing the road
966.0,s,Slowly pass the parked vehicle on your lane by staying on the right side.
967.0,s,Stop at the sotpsign
967.0,d,Slowly pass the pedestrians that are a little bit on the row
968.0,s,Stop before the closed toll gate
968.0,,turn right
968.0,d,"Once all cars from oncoming traffic have passed, make a right turn"
969.0,s,Go around the parked vehicle in your lane by going around on the right
969.0,,go around the vehicle obstructing the road
969.0,d,"When the toll gate opens, continue straight"
971.0,,Make a right turn
971.0,,turn right
979.0,d,Continue straight once the stoplight turns green
980.0,,Make a left turn before approaching the construction in your lane
983.0,d,After passing the intersection switch to the right lane
988.0,,at the end of the road turn right
988.0,,Make a right turn if there are no cars coming from the left side
989.0,ds,"Come to a stop before the crosswalk to allow the pedestrian to cross the road. After the pedestrian has crossed the road, continue forward"
990.0,,continue on this road
991.0,d,Stop at a safe distance behind the unloading vehicle
991.0,sd,stop right behind the gray car and wait for the people to pass
991.0,ds,Come to a stop when you see pedestrians in front of you
994.0,s,take the roundabout
994.0,,Make a right turn when it appears
994.0,s,Make a right turn
994.0,,keep right at the intersection
995.0,s,Change one lane to the left
995.0,s,take the left lane and exit the highway
996.0,d,Come to a stop before the tool gate and proceed once it opens
997.0,,stay in the left lane while approaching the roundabout
998.0,d,Take the first left in the roundabout when it is safe to do so
998.0,,turn left into the roundabout and take the first exit
998.0,d,take the first left after merging onto the road
998.0,d,Make the left turn once cars from the right side have passed
999.0,,Make a left turn onto the main road
999.0,,turn left 
999.0,s,Change one lane to the left and proceed to take a left turn
999.0,s,change lanes to take a left turn and then take the left turn
1000.0,s,Shift to the right lane
1000.0,,Make a right turn
1000.0,,continue on this road
1002.0,,merge into the left most lane and turn left at the signal
1002.0,s,Change one lane to the left and take a left turn at the lights
1002.0,s,shift to the left lane and then a take a left at the stop lights
1002.0,,Make the left turn at the intersection
1002.0,,Switch to the far left lane
1005.0,s,take a left turn at the lane split
1005.0,s,Take a slight left when the lane splits
1005.0,,Keep left at the fork
1005.0,s,Make tthe left turn when it appears and continue through the road
1006.0,d,Stop before the crosswalk to allow the pedestrians to cross through. Then proceed forward once it is clear
1007.0,d,Allow the oncoming vehicle to pass before taking a left turn
1007.0,s,take a left turn
1007.0,,turn left at the intersection
1007.0,,Make a left turn
1011.0,,turn left at the intersection  and continue straight
1016.0,d,Slow down before passing the crosswalk to allow the pedestrians to completely cross the road
1017.0,s,stop behind the gray car
1018.0,d,Follow the vehicle directly ahead
1018.0,d,follow the silver car ahead and turn right
1018.0,s,take the right turn and then shift onto the left lane
1022.0,d,Make the left turn once all cars from the right have passed
1023.0,,turn left here
1023.0,d,Make the left turn once all cars from the right have passed
1023.0,d,Make a left turn when they're no oncoming vehicles
1023.0,s,take left and merge onto the left lane
1044.0,d,follow the car a head into the right turn lane
1048.0,d,follow the car ahead and turn right into the connecting road
1048.0,,Make the right turn
1048.0,d,Follow the vehicle directly ahead
1048.0,s,take a right a turn and follow the gray car
1054.0,s,Make a left turn and continue down the road
1054.0,s,Make a left turn
1054.0,sd,take a left turn and wait for the car to exit the driveway
1058.0,s,take a slight right and stay on the same lane
1058.0,,Make the right turn
1058.0,,continue on this road
1058.0,s,Take a slight right when the road splits
1059.0,d,wait for the black van to move out of the current lane and then continue going straight
1061.0,s,Make the turns around the corner
1064.0,,turn right into the connecting road
1064.0,d,Make the right turn only once all oncoming cars have passed
1064.0,sd,stop right before the right turn and wait for the biker to pass and then take the right turn
1064.0,d,Allow the oncoming vehicle to pass and then make a right
1065.0,d,Change one lane to the right to pass the vehicle stopped in the road and then change back one lane to the left
1065.0,sd,shift to the right lane to avoid the oncoming car and then shift back to the left lane
1066.0,s,"Briefly go on the right lane to avoid the parked car ahead of you, then switch back to the left lane."
1068.0,s,Make the left turn at the intersection
1068.0,s,Take a left at the light
1068.0,s,Take left turn at the stop light
1069.0,s,Take a left turn at the intersection and follow the gray car
1069.0,,turn left at the signal
1069.0,ds,Take a left and follow the vehicle ahead
1073.0,s,Take a left at the light
1073.0,s,Make the left turn at the intersection
1073.0,,turn left at the signal
1073.0,s,Take a left turn at the intersection
1076.0,s,Make the left turn at the intersection and enter the leftmost lane
1076.0,d,Follow the vehicle ahead
1076.0,,turn left at the signal
1076.0,s,Take a left turn
1077.0,s,Take a left turn and follow the black car
1078.0,sd,Shifted to the right lane and overtake the white car and the van
1078.0,s,Change one lane to the right
1078.0,d,Switch to the middle lane and pass the vehicles on your left
1080.0,,"After the intersection, switch to the right lane"
1080.0,ds,Change one lane to the right and maintain a safe distance between the vehicle directly ahead
1080.0,,merge into the right lane
1080.0,d,Follow the black car
1081.0,d,follow the black car
1081.0,s,Shift to the right to get into the turning lane
1081.0,d,Follow the vehicle in front of you
1083.0,d,follow the black car ahead and turn right
1083.0,d,Follow the vehicle in front of you and make the right turn
1083.0,s,Make a right turn at the light
1083.0,s,Take right turn at the intersection
1084.0,,Switch to the left lane
1084.0,,merge into the left lane
1084.0,ds,"Move one lane to the left, be cautious of the vehicle turning into the lane "
1084.0,d,"Briefly, if clear, go onto the middle lane to avoid hitting the car attempting to enter into your lane, then go back to the left lane"
1084.0,s,Shift to the left lane
1085.0,,Make a left turn
1085.0,,turn left at the signal and continue on this road
1085.0,,Take left turn
1085.0,s,Make a left turn at the light
1086.0,d,Be cautious of all the pedestrians ahead of you
1087.0,,Make a right turn
1087.0,s,Make a right turn
1087.0,s,Take a right turn
1087.0,,turn right here and continue straight
